project_code,project_title,agency_name,year,emergency_type_name,window_full_name,total_amount_approved
20-RR-WFP-056,Food Assistance to the most vulnerable people affected by COVID-19 in the northeast Nigeria,World Food Programme,2021,Displacement,Rapid Response,15000005.0
22-RR-WFP-031,Food assistance to the most vulnerable conflict affected people in the northeast Nigeria,World Food Programme,2022,Violence/Clashes,Rapid Response,10000000.0
22-UF-CEF-064,Multisectoral Response to the communities affected by malnutrition,United Nations Children’s Fund,2022,Violence/Clashes,Underfunded Emergencies,8500000.0
23-RR-WFP-022,Provision of life-saving nutrition sensitive assistance to crisis affected population in Local Government Areas with famine-like situations in NE Nigeria.,World Food Programme,2023,Violence/Clashes,Rapid Response,6000000.0
16-RR-WFP-041,"Life Saving Food Assistance to Extremely Vulnerable Nigerian IDPs in Borno and Yobe States, including Blanket Supplementary Feeding for Children at Risk aged 6-23 months",World Food Programme,2016,Displacement,Rapid Response,5995380.0
CERF-NGA-24-RR-WFP-32768,Provision of life-saving nutrition-sensitive assistance to crisis affected population in Local Government Areas in NE Nigeria,World Food Programme,2024,Drought,Rapid Response,5500000.35
22-RR-CEF-035,Multisectoral Rapid Response to the people affected by the lean season,United Nations Children’s Fund,2022,Violence/Clashes,Rapid Response,5000000.0
20-UF-CEF-056,Child Protection and Education in Emergency response for children affected by conflict in Northeast of Nigeria,United Nations Children’s Fund,2020,Displacement,Underfunded Emergencies,4399657.0
17-UF-WFP-010,Emergency Operation to provide Lifesaving support to households directly affected by insecurity in NE Nigeria,World Food Programme,2017,Displacement,Underfunded Emergencies,4324678.0
21-RR-CEF-047,Cholera Prevention and Control through community health and WASH interventions in Northern Nigeria,United Nations Children’s Fund,2021,Cholera,Rapid Response,4300000.0
